Valor,TipoAluguel,Iptu,Area,Quartos,Banheiros,Vagas,Cidade,Endereco
"
2500
",dia,0,"
200
","
5
","
4
","
2
",florianopolis,"Jurerê Internacional, Florianópolis"
"
650
",dia,0,"
150
","
3
","
2
","
3
",florianopolis,"São João do Rio Vermelho, Florianópolis"
"
1300
",mês,0,"
90
","
3
","
1
","
1
",florianopolis,"Estrada Rozália Paulina Ferreira, Pântano do Sul"
"
3400
",dia,0,"
430
","
5
","
1
","
3
",florianopolis,"Rua dos Bijupirás, Jurerê Internacional"
"
2500
",dia,0,"
450
","
6
","
2
","
4
",florianopolis,"Avenida dos Merlins, Jurerê Internacional"
"
2300
",dia,0,"
390
","
6
","
7
","
2
",florianopolis,"Jurerê, Florianópolis"
"
3500
",dia, 822,"
498
","
4
","
6
","
2
",florianopolis,"Rodovia Jornalista Maurício Sirotsky Sobrinho, Jurerê"
"
3000
",dia,0,"
300
","
4
","
3
","
3
",florianopolis,"Rua dos Pintados, Jurerê Internacional"
"
2000
",dia,0,"
145
","
4
","
1
","
2
",florianopolis,"Rua dos Bijupirás, Jurerê Internacional"
"
580
",dia,0,"
200
","
3
","
2
","
2
",florianopolis,"Estrada Dom João Becker, Ingleses do Rio Vermelho"
"
900
",dia,0,"
300
","
4
","
3
","
2
",florianopolis,"Rua dos Corais, Jurerê Internacional"
"
750
",dia,0,"
150
","
3
","
2
","
2
",florianopolis,"Estrada Dom João Becker, Ingleses do Rio Vermelho"
"
380
",dia,0,"
40
","
2
","
1
",0,florianopolis,"Ponta das Canas, Florianópolis"
"
1400
",dia,0,"
200
","
5
","
7
","
2
",florianopolis,"Jurerê Internacional, Florianópolis"
"
1000
",dia,0,"
420
","
4
","
1
",0,florianopolis,"Avenida das Lagostas, Jurerê Internacional"
"
350
",dia,0,"
75
","
2
","
2
","
1
",florianopolis,"Ponta das Canas, Florianópolis"
"
2800
",dia, 1400,"
250
","
4
","
3
","
2
",florianopolis,"Jurerê Internacional, Florianópolis"
"
1500
",dia,0,"
200
","
3
","
2
","
3
",florianopolis,"Rua Pedro Alexandrino, Cachoeira do Bom Jesus"
"
2667
",mês, 73,"
140
","
3
","
2
","
4
",florianopolis,"Rua Intendente João Nunes Vieira, Ingleses do Rio Vermelho"
"
1400
",dia,0,"
165
","
3
","
1
","
2
",florianopolis,"Rua dos Badejos, Jurerê Internacional"
"
3000
",dia,0,"
150
","
4
","
2
","
2
",florianopolis,"Ponta das Canas, Florianópolis"
"
950
",dia,0,"
280
","
3
","
1
",0,florianopolis,"Avenida das Palmeiras, Daniela"
"
1524
",mês, 35,"
140
","
3
","
2
","
1
",florianopolis,"Ingleses do Rio Vermelho, Florianópolis"
"
650
",dia,0,"
220
","
4
","
4
","
3
",florianopolis,"Estrada Dom João Becker, Ingleses do Rio Vermelho"
"
3800
",mês, 130,"
180
","
3
","
4
","
1
",florianopolis,"Rua Castro Alves, Balneário"
"
2300
",mês,0,"
95
","
2
","
2
","
2
",florianopolis,"Campeche, Florianópolis"
"
2200
",mês, 176,"
120
","
3
","
2
","
3
",florianopolis,"Servidão Marciano Pedro Severino, Santinho"
"
1600
",mês, 80,"
100
","
2
","
2
","
1
",florianopolis,"Servidão Aristides Euzébio Coelho, São João do Rio Vermelho"
"
2200
",mês,0,"
78
","
2
","
2
","
2
",florianopolis,"Rua Huberto Rohden, Campeche"
"
1500
",mês, 244,"
72
","
2
","
2
","
1
",florianopolis,"Rua João Luiz da Silva Brito, Canasvieiras"
"
700
",dia,0,"
80
","
3
","
2
","
2
",florianopolis,"Servidão Anhatomirim, Ponta das Canas"
"
4500
",mês,0,"
250
","
3
","
4
","
2
",florianopolis,"Sambaqui, Florianópolis"
"
2500
",dia,0,"
450
","
6
","
1
","
3
",florianopolis,"Rua dos Cangoas, Jurerê Internacional"
"
1500
",dia,0,"
300
","
4
","
1
",0,florianopolis,"Rua dos Corais, Jurerê Internacional"
"
6500
",dia,0,"
350
","
4
","
6
","
6
",florianopolis,"Rua dos Arenques, Jurerê Internacional"
"
3500
",dia,0,"
539
","
4
","
1
","
3
",florianopolis,"Avenida das Lagostas, Jurerê Internacional"
"
3500
",dia,0,"
400
","
5
","
6
","
2
",florianopolis,"Rua dos Meros, Jurerê Internacional"
"
2500
",dia,0,"
400
","
6
","
4
","
4
",florianopolis,"Estrada Dom João Becker, Ingleses do Rio Vermelho"
"
5000
",dia,0,"
300
","
6
","
5
","
2
",florianopolis,"Avenida dos Merlins, Jurerê Internacional"
"
2500
",dia,0,"
400
","
6
","
4
","
4
",florianopolis,"Estrada Dom João Becker, Ingleses do Rio Vermelho"
"
5000
",dia,0,"
300
","
6
","
5
","
2
",florianopolis,"Avenida dos Merlins, Jurerê Internacional"
"
490
",dia,0,"
64
","
3
","
1
","
1
",florianopolis,"Cachoeira do Bom Jesus, Florianópolis"
"
820
",dia,0,"
200
","
3
","
3
","
2
",florianopolis,"Estrada Dom João Becker, Ingleses do Rio Vermelho"
"
610
",dia,0,"
150
","
2
","
2
","
1
",florianopolis,"Avenida Luiz Boiteux Piazza, Cachoeira do Bom Jesus"
"
2300
",mês,0,"
95
","
2
","
2
","
2
",florianopolis,"Campeche, Florianópolis"
